,Age,DailyRate,Department,EducationField,Gender,MaritalStatus,MonthlyRate,OverTime,Bonus
197,42,926,Research & Development,Medical,Female,Divorced,16439,No,1643.9
198,38,1261,Research & Development,Life Sciences,Male,Married,7259,No,725.9
199,38,1084,Research & Development,Technical Degree,Male,Married,4185,No,418.5
200,27,472,Research & Development,Technical Degree,Male,Married,9679,No,967.9
201,49,1002,Research & Development,Life Sciences,Male,Divorced,23793,Yes,2379.3
202,34,878,Research & Development,Medical,Male,Divorced,5972,Yes,597.2
203,40,905,Research & Development,Medical,Male,Married,16523,Yes,1652.3
204,38,1180,Research & Development,Medical,Male,Married,11354,Yes,1135.4
205,29,121,Sales,Marketing,Female,Married,24525,No,2452.5
206,22,1136,Research & Development,Life Sciences,Male,Divorced,12392,Yes,1239.2
207,36,635,Research & Development,Medical,Female,Single,7703,No,770.3
208,40,1151,Research & Development,Life Sciences,Male,Married,14242,No,1424.2
209,46,644,Research & Development,Medical,Male,Divorced,12368,No,1236.8
210,32,1045,Sales,Medical,Male,Married,25812,No,2581.2
211,30,829,Research & Development,Life Sciences,Male,Single,20925,No,2092.5
212,27,1242,Sales,Life Sciences,Female,Single,12916,No,1291.6
213,51,1469,Research & Development,Life Sciences,Male,Married,15736,No,1573.6
214,30,1005,Research & Development,Technical Degree,Female,Single,8556,Yes,855.6
215,41,896,Sales,Life Sciences,Female,Single,14674,Yes,1467.4
216,30,334,Sales,Marketing,Female,Single,22967,No,2296.7
217,29,992,Research & Development,Technical Degree,Male,Single,19757,No,1975.7
218,45,1052,Sales,Medical,Female,Single,16840,No,1684.0
219,54,1147,Sales,Marketing,Female,Married,17011,No,1701.1
220,36,1396,Research & Development,Life Sciences,Male,Single,9945,No,994.5
221,33,147,Research & Development,Medical,Female,Married,13248,No,1324.8
222,37,663,Research & Development,Other,Male,Divorced,10056,Yes,1005.6
223,38,119,Sales,Life Sciences,Male,Divorced,9647,No,964.7
224,31,979,Research & Development,Medical,Male,Married,4381,No,438.1
225,59,142,Research & Development,Life Sciences,Male,Married,8456,No,845.6
226,37,319,Sales,Marketing,Male,Divorced,2539,No,253.9
227,29,1413,Sales,Medical,Female,Married,6599,No,659.9
228,35,944,Sales,Marketing,Female,Single,9096,No,909.6
229,29,896,Research & Development,Medical,Male,Single,14961,Yes,1496.1
230,52,1323,Research & Development,Life Sciences,Female,Single,3300,No,330.0
231,42,532,Research & Development,Technical Degree,Male,Married,4933,No,493.3
232,59,818,Human Resources,Medical,Male,Married,25657,No,2565.7
233,50,854,Sales,Medical,Female,Divorced,24118,No,2411.8
234,33,813,Research & Development,Medical,Male,Married,22149,Yes,2214.9
235,43,1034,Sales,Marketing,Female,Married,7744,Yes,774.4
236,33,465,Research & Development,Life Sciences,Female,Married,21509,No,2150.9
237,52,771,Sales,Life Sciences,Male,Single,21030,Yes,2103.0
238,32,1401,Sales,Life Sciences,Female,Married,20990,No,2099.0
239,32,515,Research & Development,Life Sciences,Male,Single,9571,Yes,957.1
240,39,1431,Research & Development,Medical,Female,Divorced,15417,No,1541.7
241,32,976,Sales,Marketing,Male,Married,12069,No,1206.9
242,41,1411,Research & Development,Life Sciences,Male,Divorced,19877,No,1987.7
243,40,1300,Research & Development,Technical Degree,Male,Divorced,24447,No,2444.7
244,45,252,Research & Development,Other,Male,Married,15970,No,1597.0
245,31,1327,Research & Development,Medical,Male,Divorced,13523,No,1352.3
246,33,832,Research & Development,Life Sciences,Female,Married,14776,No,1477.6
247,34,470,Research & Development,Life Sciences,Male,Married,23687,No,2368.7
248,37,1017,Research & Development,Medical,Female,Married,18697,No,1869.7
249,45,1199,Research & Development,Life Sciences,Male,Married,5118,No,511.8
250,37,504,Research & Development,Medical,Male,Divorced,22573,No,2257.3
251,39,505,Research & Development,Technical Degree,Female,Single,6420,No,642.0
252,29,665,Research & Development,Life Sciences,Male,Single,22673,No,2267.3
253,42,916,Research & Development,Life Sciences,Female,Single,23016,Yes,2301.6
254,29,1247,Sales,Marketing,Male,Divorced,10732,No,1073.2
255,25,685,Research & Development,Life Sciences,Female,Married,7505,No,750.5
256,42,269,Research & Development,Medical,Female,Divorced,8007,Yes,800.7
257,40,1416,Research & Development,Medical,Male,Divorced,5949,No,594.9
258,51,833,Research & Development,Life Sciences,Male,Married,23231,No,2323.1
259,31,307,Research & Development,Medical,Male,Single,11652,No,1165.2
260,32,1311,Research & Development,Life Sciences,Male,Married,26062,No,2606.2
261,38,1327,Sales,Life Sciences,Male,Married,19682,No,1968.2
262,32,128,Research & Development,Technical Degree,Male,Single,19737,No,1973.7
263,46,488,Sales,Technical Degree,Female,Married,14977,Yes,1497.7
264,28,529,Research & Development,Life Sciences,Male,Single,14935,No,1493.5
265,29,1210,Sales,Medical,Male,Married,3687,No,368.7
266,31,1463,Research & Development,Medical,Male,Married,14408,No,1440.8
267,25,675,Research & Development,Life Sciences,Male,Divorced,18384,No,1838.4
268,45,1385,Research & Development,Medical,Male,Married,7501,Yes,750.1
269,36,1403,Research & Development,Life Sciences,Male,Married,20251,No,2025.1
270,55,452,Research & Development,Medical,Male,Single,18938,Yes,1893.8
271,47,666,Research & Development,Life Sciences,Male,Married,10268,Yes,1026.8
272,28,1158,Research & Development,Medical,Male,Married,2613,No,261.3
273,37,228,Sales,Medical,Male,Married,22825,No,2282.5
274,21,996,Research & Development,Medical,Male,Single,10531,No,1053.1
275,37,728,Research & Development,Medical,Female,Divorced,11677,Yes,1167.7
276,35,1315,Research & Development,Life Sciences,Female,Divorced,19100,No,1910.0
277,38,322,Sales,Medical,Female,Divorced,19191,Yes,1919.1
278,26,1479,Research & Development,Life Sciences,Female,Divorced,26767,No,2676.7
279,50,797,Research & Development,Life Sciences,Male,Divorced,15815,No,1581.5
280,53,1070,Research & Development,Medical,Male,Married,21016,Yes,2101.6
281,42,635,Sales,Life Sciences,Male,Married,24532,No,2453.2
282,29,442,Sales,Life Sciences,Male,Single,20260,No,2026.0
283,55,147,Research & Development,Technical Degree,Male,Married,15972,Yes,1597.2
284,26,496,Research & Development,Medical,Male,Married,22722,Yes,2272.2
285,37,1372,Research & Development,Life Sciences,Female,Single,15881,No,1588.1
286,44,920,Research & Development,Life Sciences,Male,Divorced,19920,Yes,1992.0
287,38,688,Research & Development,Life Sciences,Male,Divorced,18899,No,1889.9
288,26,1449,Research & Development,Medical,Male,Divorced,14180,Yes,1418.0
289,28,1117,Research & Development,Life Sciences,Female,Single,4488,No,448.8
290,49,636,Research & Development,Life Sciences,Female,Single,25594,Yes,2559.4
291,36,506,Research & Development,Technical Degree,Male,Single,26285,No,2628.5
292,31,444,Sales,Marketing,Female,Divorced,3909,No,390.9
293,26,950,Sales,Marketing,Male,Single,8450,Yes,845.0
294,37,889,Research & Development,Medical,Male,Married,11411,Yes,1141.1
295,42,555,Sales,Marketing,Female,Married,14864,No,1486.4
296,18,230,Research & Development,Life Sciences,Male,Single,25233,No,2523.3
297,35,1232,Sales,Marketing,Male,Married,5100,No,510.0
298,36,566,Research & Development,Life Sciences,Male,Married,7122,No,712.2
299,51,1302,Research & Development,Medical,Male,Divorced,16321,No,1632.1
300,41,334,Sales,Life Sciences,Male,Single,15896,No,1589.6
301,18,812,Sales,Medical,Female,Single,9724,No,972.4
302,28,1476,Research & Development,Medical,Male,Single,4824,No,482.4
303,31,218,Sales,Technical Degree,Male,Married,12241,No,1224.1
304,39,1132,Research & Development,Medical,Male,Divorced,10942,No,1094.2
305,36,1105,Research & Development,Life Sciences,Female,Married,6927,No,692.7
306,32,906,Sales,Life Sciences,Male,Married,16985,No,1698.5
307,38,849,Research & Development,Life Sciences,Female,Married,26707,No,2670.7
308,58,390,Research & Development,Life Sciences,Male,Divorced,17056,Yes,1705.6
309,31,691,Research & Development,Technical Degree,Male,Married,10077,Yes,1007.7
310,31,106,Human Resources,Human Resources,Male,Married,17822,No,1782.2
311,45,1249,Research & Development,Life Sciences,Male,Divorced,20308,No,2030.8
312,31,192,Research & Development,Life Sciences,Male,Divorced,7747,Yes,774.7
313,33,553,Research & Development,Life Sciences,Female,Married,23364,No,2336.4
314,39,117,Research & Development,Medical,Male,Married,5355,Yes,535.5
315,43,185,Research & Development,Life Sciences,Female,Single,10675,No,1067.5
316,49,1091,Research & Development,Technical Degree,Female,Single,17810,Yes,1781.0
317,52,723,Research & Development,Medical,Male,Married,17747,No,1774.7
318,27,1220,Research & Development,Life Sciences,Female,Single,20938,Yes,2093.8
319,32,588,Sales,Technical Degree,Female,Married,24624,Yes,2462.4
320,27,1377,Sales,Life Sciences,Male,Single,5242,Yes,524.2
321,31,691,Sales,Marketing,Male,Divorced,7143,No,714.3
322,32,1018,Research & Development,Medical,Female,Single,10557,No,1055.7
323,28,1157,Research & Development,Medical,Male,Married,24737,Yes,2473.7
324,30,1275,Research & Development,Medical,Female,Married,11934,No,1193.4
325,31,798,Research & Development,Life Sciences,Female,Married,14034,No,1403.4
326,39,672,Research & Development,Medical,Male,Married,21141,No,2114.1
327,39,1162,Sales,Medical,Female,Married,17778,Yes,1777.8
328,33,508,Sales,Marketing,Male,Single,4317,No,431.7
329,47,1482,Research & Development,Life Sciences,Male,Married,16375,No,1637.5
330,43,559,Research & Development,Life Sciences,Female,Divorced,6227,No,622.7
331,27,210,Sales,Marketing,Male,Married,22107,Yes,2210.7
332,54,928,Research & Development,Life Sciences,Female,Single,16885,No,1688.5
333,43,1001,Research & Development,Life Sciences,Female,Married,9262,No,926.2
334,45,549,Research & Development,Other,Male,Married,9278,No,927.8
335,40,1124,Sales,Medical,Male,Married,13273,Yes,1327.3
336,29,318,Research & Development,Other,Male,Married,4759,Yes,475.9
337,29,738,Research & Development,Other,Male,Single,7621,No,762.1
338,30,570,Sales,Marketing,Female,Divorced,5431,No,543.1
339,27,1130,Sales,Marketing,Female,Married,3415,No,341.5
340,37,1192,Research & Development,Medical,Male,Divorced,23177,No,2317.7
341,38,343,Research & Development,Life Sciences,Male,Divorced,15682,Yes,1568.2
342,31,1232,Research & Development,Medical,Female,Single,25713,Yes,2571.3
343,29,144,Sales,Marketing,Female,Divorced,11866,Yes,1186.6
344,35,1296,Research & Development,Technical Degree,Male,Single,18264,No,1826.4
345,23,1309,Research & Development,Life Sciences,Male,Divorced,16092,No,1609.2
346,41,483,Research & Development,Medical,Male,Single,10110,Yes,1011.0
347,47,1309,Sales,Medical,Male,Single,25751,No,2575.1
348,42,810,Research & Development,Life Sciences,Female,Single,15901,No,1590.1
349,29,746,Sales,Life Sciences,Male,Married,16928,No,1692.8
350,42,544,Human Resources,Technical Degree,Male,Divorced,24017,Yes,2401.7
351,32,1062,Research & Development,Medical,Female,Married,3956,No,395.6
352,48,530,Sales,Medical,Female,Married,23978,No,2397.8
353,37,1319,Research & Development,Medical,Male,Divorced,17001,Yes,1700.1
354,30,641,Sales,Technical Degree,Female,Married,6069,Yes,606.9
355,26,933,Sales,Life Sciences,Male,Married,20156,No,2015.6
356,42,1332,Research & Development,Other,Male,Single,17078,No,1707.8
357,21,756,Sales,Technical Degree,Female,Single,9150,Yes,915.0
358,36,845,Sales,Medical,Female,Single,15276,No,1527.6
359,36,541,Sales,Medical,Male,Married,7246,No,724.6
360,57,593,Research & Development,Medical,Male,Married,2967,No,296.7
361,40,1171,Research & Development,Life Sciences,Female,Married,22495,Yes,2249.5
362,21,895,Sales,Medical,Male,Single,2851,No,285.1
363,33,350,Sales,Marketing,Female,Single,9150,Yes,915.0
364,37,921,Research & Development,Medical,Female,Married,17663,No,1766.3
365,46,1144,Research & Development,Medical,Female,Married,16044,No,1604.4
366,41,143,Sales,Marketing,Male,Single,9558,No,955.8
367,50,1046,Research & Development,Technical Degree,Male,Single,2755,No,275.5
368,40,575,Sales,Marketing,Male,Married,6110,Yes,611.0
369,31,408,Research & Development,Life Sciences,Male,Single,7551,Yes,755.1
370,21,156,Sales,Life Sciences,Female,Single,25422,No,2542.2
371,29,1283,Research & Development,Life Sciences,Male,Single,18168,No,1816.8
372,35,755,Research & Development,Life Sciences,Male,Single,19394,No,1939.4
373,27,1469,Research & Development,Medical,Male,Divorced,17881,No,1788.1
374,28,304,Sales,Life Sciences,Male,Single,20750,No,2075.0
375,49,1261,Research & Development,Other,Male,Single,12066,No,1206.6
376,51,1178,Sales,Life Sciences,Female,Married,14862,No,1486.2
377,36,329,Research & Development,Life Sciences,Female,Married,11868,No,1186.8
378,34,1362,Sales,Marketing,Male,Single,4652,Yes,465.2
379,55,1311,Research & Development,Life Sciences,Female,Single,23258,Yes,2325.8
380,24,1371,Sales,Marketing,Female,Divorced,5915,Yes,591.5
381,30,202,Sales,Technical Degree,Male,Married,17434,No,1743.4
382,26,575,Research & Development,Technical Degree,Male,Single,6582,No,658.2
383,22,253,Research & Development,Medical,Female,Married,24440,No,2444.0
384,36,164,Sales,Medical,Male,Married,3809,No,380.9
385,30,464,Research & Development,Technical Degree,Male,Single,3427,Yes,342.7
386,37,1107,Research & Development,Life Sciences,Female,Divorced,26914,No,2691.4
387,40,759,Sales,Marketing,Female,Divorced,22553,No,2255.3
388,42,201,Research & Development,Life Sciences,Female,Divorced,20490,No,2049.0
389,37,1305,Research & Development,Life Sciences,Male,Single,21123,Yes,2112.3
390,43,982,Research & Development,Life Sciences,Male,Divorced,4345,No,434.5
391,40,555,Research & Development,Medical,Female,Married,13436,No,1343.6
392,54,821,Research & Development,Medical,Male,Married,8509,No,850.9
393,34,1381,Sales,Marketing,Female,Married,12740,No,1274.0
394,31,480,Research & Development,Medical,Female,Married,4156,No,415.6
395,43,313,Research & Development,Medical,Male,Married,15238,No,1523.8
396,43,1473,Research & Development,Other,Female,Divorced,2227,Yes,222.7
397,25,891,Sales,Life Sciences,Female,Single,12090,Yes,1209.0
398,37,1063,Research & Development,Medical,Female,Married,23866,Yes,2386.6
399,31,329,Research & Development,Life Sciences,Male,Married,16193,No,1619.3
400,39,1218,Research & Development,Life Sciences,Male,Divorced,8213,Yes,821.3
401,56,906,Sales,Life Sciences,Female,Married,18256,No,1825.6
402,30,1082,Sales,Technical Degree,Female,Single,19558,No,1955.8
403,41,645,Sales,Marketing,Male,Married,19566,No,1956.6
404,28,1300,Research & Development,Medical,Male,Divorced,13535,No,1353.5
405,25,688,Research & Development,Medical,Male,Married,9396,No,939.6
406,52,319,Research & Development,Medical,Male,Married,19609,Yes,1960.9
